TransactionRecord [accountType=s, transactionType=deposit, transactionAmount=100.0, startBalance=1000.0, endBalance=1100.0]
TransactionRecord [accountType=g, transactionType=deposit, transactionAmount=100.0, startBalance=1000.0, endBalance=1100.0]
TransactionRecord [accountType=s, transactionType=deposit, transactionAmount=1000.0, startBalance=1000.0, endBalance=2100.0]
TransactionRecord [accountType=g, transactionType=deposit, transactionAmount=100.0, startBalance=1000.0, endBalance=1200.0]
TransactionRecord [accountType=s, transactionType=deposit, transactionAmount=100.0, startBalance=1000.0, endBalance=2200.0]
TransactionRecord [accountType=s, transactionType=withdraw, transactionAmount=100.0, startBalance=1000.0, endBalance=2095.75]
TransactionRecord [accountType=g, transactionType=withdraw, transactionAmount=200.0, startBalance=1000.0, endBalance=992.8]
TransactionRecord [accountType=s, transactionType=withdraw, transactionAmount=100.0, startBalance=1000.0, endBalance=1891.5]
TransactionRecord [accountType=s, transactionType=deposit, transactionAmount=100.0, startBalance=1000.0, endBalance=1991.5]
TransactionRecord [accountType=s, transactionType=withdraw, transactionAmount=100.0, startBalance=1000.0, endBalance=1787.25]
TransactionRecord [accountType=g, transactionType=deposit, transactionAmount=100.0, startBalance=1000.0, endBalance=1092.8]
TransactionRecord [accountType=s, transactionType=deposit, transactionAmount=100.0, startBalance=1000.0, endBalance=1887.25]
TransactionRecord [accountType=s, transactionType=deposit, transactionAmount=20.0, startBalance=1000.0, endBalance=1907.25]
TransactionRecord [accountType=g, transactionType=withdraw, transactionAmount=1.0, startBalance=1000.0, endBalance=1085.2432]
TransactionRecord [accountType=s, transactionType=deposit, transactionAmount=100.0, startBalance=1000.0, endBalance=2007.25]
TransactionRecord [accountType=s, transactionType=withdraw, transactionAmount=200.0, startBalance=1000.0, endBalance=2002.0]
TransactionRecord [accountType=g, transactionType=withdraw, transactionAmount=200.0, startBalance=1000.0, endBalance=878.7317407999999]
TransactionRecord [accountType=s, transactionType=deposit, transactionAmount=100.0, startBalance=1000.0, endBalance=2102.0]
TransactionRecord [accountType=s, transactionType=deposit, transactionAmount=100.0, startBalance=1000.0, endBalance=2102.0]
TransactionRecord [accountType=s, transactionType=deposit, transactionAmount=100.0, startBalance=1000.0, endBalance=2102.0]
